,id,success,conc_max,min_distance,t_sim,ctm_x,ctm_y,com_distance,var,jaccard_sim,wass,NWD,similarity,Spearman,Pearson
36,36,True,0.5484710360782998,57209.46845550084,213.91666666666666,1829.7317165,2788.42870343,26.704142964834656,175922.2958071452,0.8267716535433071,83.72394087632321,0.8068021795120921,0.8167869165276995,0.9275556938889233,0.2912043413626926
37,37,True,0.48996966544075937,63690.13360345909,244.33333333333331,1803.19482929,2453.49788948,55.481243702514234,181172.7453873285,0.8181818181818182,88.94637897819861,0.796070413080904,0.8071261156313612,0.9369109157277289,0.2956958573193222
38,38,True,0.4207716043342149,68199.44733570851,244.33333333333331,1634.04169725,2403.11298645,13.109402004953196,170350.7471457238,0.8412698412698413,82.7204473742321,0.8088808032044988,0.8250753222371701,0.9363393090848272,0.294017361799491
39,39,True,0.5699616189240072,77233.4024978898,305.1666666666667,1703.45524068,2262.31334044,97.09427206606162,186853.69466740475,0.7763157894736842,121.83017931773968,0.7316997145773938,0.754007752025539,0.9472601848150461,0.3002354407675145
40,40,True,0.6536265954094734,54128.21576835692,213.91666666666666,2011.8216247,2950.46369633,80.62677471741478,281513.1595325829,0.8317757009345794,119.30923634635762,0.7364447087802437,0.7841102048574116,0.9553397163349291,0.29668757326083484
41,41,True,0.5809440671654871,60986.223397310365,244.33333333333331,1644.15961272,2948.64944714,73.54942538087028,278088.4420419569,0.8378378378378378,114.16255180791164,0.746227704218973,0.7920327710284054,0.9607402726850681,0.30275499380815785
42,42,True,0.7451631494307964,60113.53434836157,244.33333333333331,1811.83145201,2423.32644897,55.94745284219912,272750.7917202667,0.8434782608695652,98.63454559587963,0.7765384727402228,0.8100083668048941,0.9383306105826527,0.3046963055216122
43,43,True,0.8144094984056749,33618.79386134709,153.08333333333334,2327.70259382,2409.19913637,68.5065255601345,282036.1277565404,0.8269230769230769,107.39131592844049,0.7592969432378425,0.7931100100804597,0.9445451166362792,0.2842228405588331
44,44,True,0.6491546511226904,37619.885830375155,153.08333333333334,2049.59368767,2027.55911324,68.5065255601345,282036.1277565404,0.8269230769230769,107.39131592844049,0.7592969432378425,0.7931100100804597,0.9501308810327201,0.28161278233615683
45,45,True,0.5857483769016324,40552.42368487314,153.08333333333334,2253.51310867,2538.14331322,74.62180183558756,283785.5762440718,0.8252427184466019,113.39771846554719,0.7476925755967145,0.7864676470216583,0.9420903300225825,0.2812492120522395
